Roma Fiumicino,FCO,41.803499358144364,12.251903526992274
Milano Malpensa,MXP,45.63004747400098,8.725434138744015
Lamezia Terme,SUF,45.666128733723426,9.699296826535198
Napoli,NAP,40.88498450651684,14.289865270581794
Catania,CTA,37.467338577185885,15.065613651651551
Venezia M.Polo,VCE,45.50472197566277,12.346479294563805
Bologna ,BLQ,44.5357682797858,11.289915878668843
Palermo,PMO,38.17949511251566,13.098981742001254
Cuneo,CUF,45.45365980349538,9.276776224681885
Bari,BRI,41.13770998495508,16.765502405528576
